tifawtSku,tifawtName,tifawtStock,nocoId,nocoSku,nocoName
"TABLET-AD-0010","LCD Writing Tablet 8.5 AD-0010","5","1878","ERY-TABLET-AD-0010","لوحة كتابة LCD 8.5 بوصة AD-0010 للأطفال - صديقة للبيئة وقابلة لإعادة الاستخدام"
"IBRA-SIM","OUTILS D’ÉJECTION POUR TIROIRS de CARTES SIM et MICRO SD","970","1877","ERY-IBRA-SIM","أدوات إخراج بطاقة SIM و Micro SD عالمية - مجموعة من 8 قطع للهواتف الذكية والأجهزة اللوحية"
"CHARGER-SAMSUNG-45W-AN","CHARGER SAMSUNG 45W AN PD ADAPTER","18","1876","ERY-CHARGER-SAMSUNG-45W-AN","شاحن سامسونج 45 واط PD محول طاقة USB-C مع كابل USB-C 5 أمبير - شحن سريع"
"MIC-JMARY-MW-15","WIRELESS MICROPHONE JMARY MW-15 2.4G","10","1875","ERY-MIC-JMARY-MW-15","ميكروفون لاسلكي Jmary MW-15 2.4G مع علبة شحن - مثالي للفلوج والبث والمقابلات"
"ADAPTATEUR-IOS-OR","LIGHTNING TO HEADPHONE JACK ADAPTER IOS ORIGINAL","20","1874","ERY-ADAPTATEUR-IOS-OR","محول لايتنينج إلى جاك 3.5 ملم للايفون/الايباد - قم بتوصيل سماعاتك السلكية"
"ADAPTATEUR-IOS-JH-002","Pop-Up Window 8 PIN TO HEADPHONE JACK ADAPTER IOS JH-002","20","1873","ERY-ADAPTATEUR-IOS-JH-002","محول صوت Pop-Up Window 8 PIN إلى جاك 3.5 ملم للآيفون - JH-002"
"CLE-WIFI-BL-WN155A","LB-LINK 150Mbps CLÉ WIFI BL-WN155A","50","1872","ERY-CLE-WIFI-BL-WN155A","مفتاح واي فاي USB LB-LINK BL-WN155A 150Mbps مع هوائي عالي الكسب - محول لاسلكي"
"CLE-WIFI-BL-WN151","LB-LINK 150M NANO 150Mbps CLÉ WIFI BL-WN151","50","1871","ERY-CLE-WIFI-BL-WN151","محول USB واي فاي LB-LINK 150M Nano BL-WN151 - مفتاح واي فاي عالي السرعة للكمبيوتر"
"USB-TO-RS232-CABLE","USB TO RS232 CABLE","20","1870","ERY-USB-TO-RS232-CABLE","كابل محول USB 2.0 إلى RS232 DB9 تسلسلي للكمبيوتر | اتصال سهل وسريع"
"CLE-WIFI-600MBPS","DUAL BAND USB ADAPTER CLÉ WIFI 600Mbps","50","1869","ERY-CLE-WIFI-600MBPS","محول USB واي فاي ثنائي النطاق 600 ميجابت في الثانية – محول لاسلكي عالي السرعة 2.4/5 جيجاهرتز للكمبيوتر المحمول"
