tifawtSku,tifawtName,tifawtStock,tifawtPrice,suggestedNocoSku
"AIRPODS-AC100","AIRPODS MONSTER OPEN FREE AC100","20","170","ERY-AIRPODS-AC100"
"AIRPODS-AC317","AIRPODS MONSTER OPEN AIR AC317","20","170","ERY-AIRPODS-AC317"
"CHARGEUR-LENOVO-MSSMAR-20V-CRRE","CHARGEUR LENOVO 20V CARRÉ MSSMAR","10","110","ERY-CHARGEUR-LENOVO-MSSMAR-20V-CRRE"
"CHARGEUR-LENOVO-TYPE-C-65W-CAREE","CHARGEUR LENOVO TYPE-C 65W CARRÉ","10","110","ERY-CHARGEUR-LENOVO-TYPE-C-65W-CAREE"
"CHARGEUR-ASUS-MSSMAR-CARRE","CHARGEUR ASUS MSSMAR CARRÉ ORIGINAL","10","110","ERY-CHARGEUR-ASUS-MSSMAR-CARRE"
"CHARGEUR-LENOVO-45W-TPC-CARRE","CHARGEUR LENOVO TYPE-C 45W CARRÉ","14","110","ERY-CHARGEUR-LENOVO-45W-TPC-CARRE"
"CABLE-KONFULON-DC32C-2M","FSTA DATA CABLE KONFULON DC32C 2m","20","18","ERY-CABLE-KONFULON-DC32C-2M"
"CABLE-KONFULON-DC32-1M","FSTA DATA CABLE KONFULON DC32 1m","13","13","ERY-CABLE-KONFULON-DC32-1M"
"CABLE-TYEPC-IPHONE-ORIGINALE","CABLE TYEPC-IPHONE ORIGINALE","15","55","ERY-CABLE-TYEPC-IPHONE-ORIGINALE"
"CABLE-RJ11-1-5M-OR","CABLE RJ11 1.5M OR","50","6","ERY-CABLE-RJ11-1-5M-OR"
"SUPPORT-RT-201","PHONE HOLDER MULTIFUNCTION MAGNETIC RT201","10","65","ERY-SUPPORT-RT-201"
"SUPPORT-RT-202","PHONE HOLDER MULTIFUNCTION MAGNETIC RT202","10","65","ERY-SUPPORT-RT-202"
"SUPPORT-RT-203","PHONE HOLDER MULTIFUNCTION MAGNETIC RT203","10","65","ERY-SUPPORT-RT-203"
"EAGLE-V8","EAGLE DATA CABLE 1.5M V8","100","9","ERY-EAGLE-V8"
"LED-MJ-21","LED MJ21 CLIP FILL LIGHT RGB DC","33","85","ERY-LED-MJ-21"
"CHARGEUR-ALLUME-CIGARE-24V-2A","CHARGEUR ALLUME CIGARE 24V 2A","100","35","ERY-CHARGEUR-ALLUME-CIGARE-24V-2A"
"ADAPTER-FLAIR-30W-TC","ADAPTER FLAIR TRAVEL CHARGER 30W TC","250","35","ERY-ADAPTER-FLAIR-30W-TC"
"ADAPTER-FLAIR-30W-V8","ADAPTER FLAIR TRAVEL CHARGER 30W V8","250","35","ERY-ADAPTER-FLAIR-30W-V8"
"MANETTE-X-ONE","MANETTE SCNY X-ONE ","29","230","ERY-MANETTE-X-ONE"
"CABLE-RJ45-1-5M","COMPUTER CABLE RJ45 1.5M HIGH QUALITY","50","9","ERY-CABLE-RJ45-1-5M"
"CABLE-RJ45-5M","CABLE RESEAU RJ45 5M  HIGH QUALITY","29","23","ERY-CABLE-RJ45-5M"
"CABLE-PC-BUREAU-HIGH-QUALITY","CABLE PC BUREAU HIGH QUALITY","164","13","ERY-CABLE-PC-BUREAU-HIGH-QUALITY"
"CABLE-WATCH-LITE2","CABLE WATCH LITE2 (1SACHET)","100","15","ERY-CABLE-WATCH-LITE2"
"ADAPTER-FLAIR-TURBO-67W","ADAPTER FLAIR TURBO 67W","180","40","ERY-ADAPTER-FLAIR-TURBO-67W"
"LAZY-PHONE","SUPPORT LAZY PHONE TABLET HOLDER","40","65","ERY-LAZY-PHONE"
"MANETTE-PS2","MANETTE DUALSHOCK 2 PS2","50","30","ERY-MANETTE-PS2"
"MJ26","RGB LED SOFT RING LIGHT MJ26","20","70","ERY-MJ26"
"RING-MJ45","RING LIGHT MJ45 RGB","10","200","ERY-RING-MJ45"
"POWER-BANK-A28SQ","POWER BANK KONFULON 60000MAH A28SQ","8","400","ERY-POWER-BANK-A28SQ"
"POWER-BANK-A66Q","POWER BANK KONFULON 70000MAH A66Q","12","450","ERY-POWER-BANK-A66Q"
"BANK-FLAIR-30000MAH","PD POWER BANK FLAIR 30000mAh 100W","20","320","ERY-BANK-FLAIR-30000MAH"
"MANETTE-TRANSPARENT-PS3","MANETTE TRANSPARENT PS3 SONY DUALSHOCK 3","50","55","ERY-MANETTE-TRANSPARENT-PS3"
"BOOST-5V-9V-12V","CABLE POWER BOOST 1A  1CCOMM","48","15","ERY-BOOST-5V-9V-12V"
"480MBPS","MEMORY CARD READER USB 2.0 15 IN 1 480MBPS","50","30","ERY-480MBPS"
"BATTERY-PACK-SAMSUNG-10000MAH-25W","BATTERY PACK SAMSUNG 10000mAh 25W","8","170","ERY-BATTERY-PACK-SAMSUNG-10000MAH-25W"
"BATTERY-PACK-SAMSUNG-20000MAH","BATTERY PACK SAMSUNG 20000MAH 45W","10","220","ERY-BATTERY-PACK-SAMSUNG-20000MAH"
"A59Q","POWER BANCK KONFULON PD20W & 22.5W A59Q","18","150","ERY-A59Q"
"PD20W-A50","POWER BANCK FAST DIGITAL CHARGER PD20W 22.5W A50","18","115","ERY-PD20W-A50"
